,root_pos,root_vel,root_orn,root_ang_vel,com_pos,com_vel,back_bkz_orn,back_bkz_vel,back_bkx_orn,back_bkx_vel,neck_ry_orn,neck_ry_vel,r_leg_hpy_orn,r_leg_hpy_vel,r_leg_kny_angel,r_leg_kny_vel,r_leg_akx_orn,r_leg_akx_vel,r_arm_ely_orn,r_arm_ely_vel,r_arm_elx_angle,r_arm_elx_vel,l_leg_hpy_orn,l_leg_hpy_vel,l_leg_kny_angel,l_leg_kny_vel,l_leg_akx_orn,l_leg_akx_vel,l_arm_ely_orn,l_arm_ely_vel,l_arm_elx_angle,l_arm_elx_vel,l_leg_akx_pos,r_leg_akx_pos
0,"[-0.005025036121899529, 0.01812894148486066, 0.000620808640867465]","[-0.14080492150713664, -0.09152131645562411, 0.291548284284794]","(-0.001488593864151973, -0.003373896254523141, 0.004124375449647109)","[0.5510290485765879, -1.321792150779991, -0.9085022710553654]",[-0.09868403  0.41001645 -0.02367772],[ 0.0573818  -0.02176867 -0.02850229],"(-0.00310956076292366, -0.002590461328225306, 0.017716438481075188)","[0.4057021162414033, -1.196629382475629, 0.07897408221806947]","(-0.004472941292762069, -0.01946384510134366, 0.015591500292301832)","[-0.05698618106487679, 0.15665681564427048, -0.00182537360494359]","(-0.005064374701630149, -0.024556107109373556, 0.01564181021834195)","[0.0834087078226258, -0.9100188549929149, 0.010987414903145122]","(-0.05297926980202611, -0.2452826803538244, -0.02118100048231181)","[0.051677828416274385, -0.39822516137551334, 0.11317544559873238]",0.015412964290541675,2.3720083456066483,"(0.09385040177441889, 0.0268145604130218, -0.0075342174350755894)","[1.34870644993756, -2.2292817683251753, 1.8020618718476027]","(-0.2863431509350912, 0.528524719839564, 0.04077967586150567)","[0.09908387266781277, -1.1121740319552393, 1.6101131359479675]",-0.007356682736629039,-1.6557994646152707,"(-0.1014995711996822, 0.7357875999919514, 0.3399175676476819)","[-0.9202333090595642, 0.507154419875327, -0.7176666876015836]",0.025223588658741455,3.1812263807020624,"(0.01111990031099751, 0.16874344145371015, 0.18054023631067756)","[-1.5122671960793361, 1.699997267557086, 3.5371472527918013]","(0.3454027467560586, 0.2908153271314195, -0.33199071878222935)","[0.009931124789100437, 2.7973771552948645, -2.895970486167509]",-0.0014802878317031198,-0.2094032449753612,"[0.10623972434329743, 0.043540644161278175, -0.08535425820241374]","[0.19247448766323494, -0.042876307759634164, 0.039194313864975655]"
1,"[-0.0016516900734648843, 0.017380754667913223, -0.0001489569410353486]","[-0.25560069612443115, -0.10335471444746719, 0.3396098969881085]","(-0.006064423029494627, -0.010095874386441562, 0.011918528266070854)","[0.8902077128865615, -1.9703336042844797, -1.5072373914912733]",[-0.09844354  0.40991759 -0.02380621],[ 1.05836141 -0.10333985 -0.11642588],"(-0.006758272585624892, -0.009757175573237579, 0.017752183405496152)","[0.8823145996623402, -1.7166254362552786, -0.0008182321099758335]","(-0.003978745177650736, -0.018471644181981457, 0.015658932351517805)","[-0.11831993891619298, 0.318824629902634, 0.011543661793284084]","(-0.005618354465453568, -0.03196225719372884, 0.015842764473504675)","[0.13537851576604698, -1.7746565922592512, 0.03001332348300661]","(-0.05147504312949191, -0.2450820748636322, -0.02317825928173011)","[-0.23725681788287042, 0.08143787093186569, -0.46786742290836386]",0.025197453509055,2.284624178786864,"(0.08858237289212033, 0.02331690751650726, -0.008814603242559107)","[1.1872252826926784, -0.8811841300540008, -0.5909698146116149]","(-0.2860556847388008, 0.5337811898342029, 0.0392440147887671)","[0.34288624017644714, -1.2009542621117109, 1.2009542621117109]",-0.019003264078063298,-2.6992048895762872,"(-0.09796040792821133, 0.7316238077946092, 0.3383754709499866)","[-1.1198097270991427, -0.9434508024599504, -0.43373051743374014]",0.035324749002974554,2.2993716296366755,"(0.016969756422500943, 0.18028466378084015, 0.18217878027758816)","[-1.334845224055391, 2.7804106622284395, -0.05469252315741796]","(0.3457942410332994, 0.2808747387561901, -0.33582012681615614)","[0.3161480654510348, 2.494375410817594, -2.494375410817594]",-0.004077683371562557,-0.4032603572215378,"[0.11093564872769102, 0.04297847281650008, -0.08330950095792267]","[0.19836310891133013, -0.045838645846942014, 0.0395394613316548]"
2,"[-0.003195578098593943, 0.017005887282430132, -0.0007069132033406325]","[-0.4255534473558532, 0.031395350136855654, 0.09161626151149083]","(-0.009402149600607583, -0.012254026070221465, 0.020883297169797324)","[0.40302713771598375, -5.829960484959483, -2.0305043170503723]",[-0.09805997  0.41003021 -0.0246877 ],[ 1.07343594 -0.12955421 -0.11604202],"(-0.009032673172975998, -0.012439658644317385, 0.01760882670156944)","[0.9975666117581019, -2.0167005701235876, -0.01631188360293634]","(-0.003684543054758242, -0.006297599290260719, 0.015064266364339305)","[-0.14456539130678586, 0.26954186093489896, 0.008228434716102791]","(-0.006534744677754074, -0.02975779233288256, 0.015403117219304369)","[0.14549509817971282, -2.123345712041648, 0.03055787761052112]","(-0.04970136661801331, -0.24041719801441533, -0.027755730066343208)","[-0.24225485853752957, 0.37442187309526087, -0.5459442017388656]",0.04503367121277668,2.867523731624565,"(0.07198467078385412, 0.021885912139606528, -0.02436255299177835)","[2.7596930053159245, -0.7939329702382578, -0.7881108109172189]","(-0.2829971810313607, 0.5366835266475096, 0.038868167472673305)","[0.267449533613913, -0.26835002867170826, 0.26835002867170826]",-0.032238963570039636,-3.189168275530243,"(-0.10075129102511524, 0.7256335267234428, 0.3334628937082851)","[-1.1680376307296332, -1.3677058413270506, -0.44500112083100485]",0.06101029285405726,3.3093273690936753,"(0.016630441609681496, 0.19417620390652587, 0.1700412340893753)","[-1.2760294753649546, 3.5151990788461323, 0.017329780816330548]","(0.3404287995069767, 0.2629023962213944, -0.3414468524705312)","[0.35712909491309136, 1.5748066947468011, -1.5748066947468011]",-0.006409352317628347,-0.3925380489398671,"[0.1159401954352739, 0.044937937533303746, -0.08609739892566107]","[0.20581496257046872, -0.050727788625598944, 0.03953303187623387]"
3,"[-0.005171645633607835, 0.01687094199650241, -0.0020024748389042713]","[-0.4742562084033305, 0.04004924682630376, 0.12386052756901933]","(-0.010542273273441679, -0.005323983666445332, 0.03079715199768176)","[0.3479538695898663, -5.907792327397999, -2.1127875701303775]",[-0.09755589  0.41051664 -0.02693726],[ 1.08136922 -0.15756505 -0.12033847],"(-0.00930142773819243, -0.006004956666517983, 0.018046804977430185)","[0.9539250746076788, -2.094005629413914, -0.024779073248175437]","(-0.003866159332561195, 0.024653660672294266, 0.013589914623787796)","[-0.15593265762665356, 0.20143343213300077, 0.0030603702639206507]","(-0.007922651040747249, -0.00883683576837748, 0.014119753806809375)","[0.13593479075269904, -2.2061536158858854, 0.026956866354163278]","(-0.04408489764564001, -0.23052763993334313, -0.0354320273159518)","[-0.3215764081276362, 0.5956931924024262, -1.2054877602385208]",0.06943441860577063,2.9571334124800845,"(0.025299250896444747, 0.010135767460235973, -0.050438600049149365)","[7.755888178564267, -3.8016185316459317, -1.6997682235703697]","(-0.2781673010234125, 0.5365892514005954, 0.04149444862382856)","[0.20551350196423734, 0.7968465384135712, -0.7968465384135712]",-0.04531757534895864,-3.3689760313087462,"(-0.11293249521257502, 0.7236012951438923, 0.3204082098007572)","[-1.1688399139503414, -1.654885624800092, -0.45370857896363787]",0.08883373980395265,3.8530442846555695,"(0.004648081263337288, 0.21162193942751734, 0.158806490315123)","[-1.2911171982009635, 3.8135291520066565, 0.05248406126179042]","(0.32332279923396195, 0.22668328731336623, -0.34996012036543594)","[0.3970697916676764, 0.615757764509479, -0.615757764509479]",-0.008114034428841871,-0.20439551756367574,"[0.12318086613713186, 0.04768534004675437, -0.09610869936029635]","[0.21359816745688914, -0.056689680368692916, 0.03888412163813448]"
4,"[-0.007303987393993849, 0.016584855726274106, -0.0032619337052366263]","[-0.5117620224926265, 0.048713911441811975, 0.1601343638011451]","(-0.011231355046355052, 0.0012960148386188094, 0.04062296019986433)","[0.29094192155317233, -5.878129451074569, -2.179807494031016]",[-0.09703001  0.41085172 -0.02922776],[ 1.08706424 -0.19172886 -0.12369919],"(-0.009418716356206386, 0.00018934633735005437, 0.018477174191774998)","[0.9192878253948766, -2.151443899972561, -0.03299128274991636]","(-0.004066426986459232, 0.055324224997002874, 0.012196662511847436)","[-0.17060440007671304, 0.13308070356816465, -8.024352039499166e-05]","(-0.009293221969922485, 0.012010104253488509, 0.012946229395495402)","[0.11525245888278796, -2.2250051387054706, 0.024952467208209445]","(-0.03874157675610144, -0.2199249848757632, -0.043600565953885013)","[-0.2626648241912211, 0.7583030253734806, -1.3259638885033873]",0.09345155965280813,2.865067889450527,"(-0.01986560665416733, -0.0027952758648004472, -0.07529963971984921)","[7.343088375867087, -3.9895814614771283, -1.6466046856427177]","(-0.2719615527684553, 0.5338533475159754, 0.04746173938095879)","[0.1843390527511986, 1.588786952423694, -1.588786952423694]",-0.05865731152377929,-3.431645886325145,"(-0.12513619738171544, 0.7208382066452561, 0.3074988931269935)","[-1.185475219361832, -1.7854129354355879, -0.49785958727050394]",0.11745817508078413,4.045281483120234,"(-0.007657099733740075, 0.22904880978604708, 0.14708387170782802)","[-1.264619981957428, 3.866657070203497, 0.005408285799515911]","(0.30677025945054776, 0.19339799861629844, -0.35709941941186324)","[0.44697085520524477, -0.0681575575614019, 0.0681575575614019]",-0.008965795265179294,0.00030558840658187654,"[0.1299401130360207, 0.0499853409900303, -0.10624615808513295]","[0.22154146401662955, -0.06275799252956146, 0.038012429967762565]"
5,"[-0.00955686630205721, 0.01614886462924292, -0.004486793301976789]","[-0.5406909379352196, 0.05701773614393785, 0.19611152223385658]","(-0.011444347244669681, 0.007746821048562538, 0.050179677823587183)","[0.22612701476544017, -5.805921032328209, -2.2112840082134553]",[-0.09649197  0.41100979 -0.03155379],[ 1.09096743 -0.22758045 -0.12792979],"(-0.00936651035216942, 0.006296271094086876, 0.018904551533343198)","[0.8798796112049521, -2.1722824277634563, -0.03926100349370761]","(-0.004291581896729959, 0.08571060265995432, 0.010889075214540293)","[-0.18340627699270998, 0.06389846008075568, -0.001242261847295964]","(-0.01063624700661879, 0.03289808570906322, 0.011886689198040734)","[0.09297980913100655, -2.216260396057351, 0.024735829572020633]","(-0.03369484267344758, -0.20889948427305866, -0.05194701813821653)","[-0.21965344788039007, 0.8473938873141622, -1.3778156394755992]",0.11731225589608696,2.8275211365484534,"(-0.06535590908126755, -0.015343680659880312, -0.09876397381317856)","[7.368525624312929, -3.8203007057868574, -1.5545102909164552]","(-0.2647067461041861, 0.5293681177014995, 0.05591323872036364)","[0.19213537153608926, 2.1200184469779315, -2.1200184469779315]",-0.07199680139705233,-3.4315867739537027,"(-0.13738912477319953, 0.7176078797964909, 0.2947075933408375)","[-1.199279554575866, -1.850959641128295, -0.5452352122764167]",0.14613991096813972,4.059033629646017,"(-0.020271633225694474, 0.2458927270859078, 0.13478722006538887)","[-1.2495799120458075, 3.7891548124606436, -0.06062340661282056]","(0.290735572818033, 0.16210685822896975, -0.3631546705470968)","[0.5038425616652253, -0.5231791847781894, 0.5231791847781894]",-0.009079360274678233,0.17747258684781936,"[0.13613108569560284, 0.0517721420024877, -0.11650755364546776]","[0.2296596578384389, -0.06887267748069793, 0.03684895571887792]"
6,"[-0.01188788932779572, 0.015584084114371621, -0.005680009547870979]","[-0.5594455261772376, 0.06461214034697144, 0.22702098251546649]","(-0.011090105472370826, 0.014348747198594363, 0.059337482959975874)","[0.136888569968443, -5.703982134397416, -2.1643876331328387]",[-0.09594945  0.41098346 -0.03391786],[ 1.09289368 -0.26108297 -0.13479693],"(-0.009046461247608948, 0.012642936915878903, 0.019331611997879267)","[0.816332349573527, -2.1147768227518817, -0.04374666334001976]","(-0.00456547128966329, 0.11579746936696779, 0.009665567904970158)","[-0.1902397484814143, -0.008992803368523788, -0.0021308921934314676]","(-0.011959808916898795, 0.05392470865572491, 0.010938165485549546)","[0.0733836719553216, -2.1841482166516277, 0.02447665208492262]","(-0.027821460364860533, -0.19724341889270255, -0.06192357324774539)","[-0.37642410181740377, 0.9972047786393728, -1.773114963376601]",0.13545659202185906,1.4555947083468421,"(-0.120610769367841, -0.01104302925687824, -0.12399444853296691)","[9.666268541584467, 0.33379887360276433, -1.8698540529348067]","(-0.25664735342618233, 0.5237658471107042, 0.06625457844456265)","[0.21775841266627421, 2.4664810607194574, -2.4664810607194574]",-0.0851730692862982,-3.3924134977871834,"(-0.14967309066807025, 0.7138932800005809, 0.28204721829221446)","[-1.2148988510744996, -1.9195418744996713, -0.5948881136948425]",0.17466872796795893,4.022333096637287,"(-0.033244946597142506, 0.2618003648085696, 0.12188625824388455)","[-1.2285393225079067, 3.6322747515632785, -0.13755052466457365]","(0.2752183212301772, 0.13216908810158173, -0.3682882134944547)","[0.5633821806498556, -0.8242296143285941, 0.8242296143285941]",-0.00859875536020116,0.32007336860205776,"[0.14170987035786908, 0.05301064253428875, -0.12688961703806712]","[0.23706921618722365, -0.0741489454410538, 0.03514206039153646]"
7,"[-0.014272854028462012, 0.014926101654451074, -0.006645056180157557]","[-0.5723915281599313, 0.11937284761279868, 0.24938944932730894]","(-0.009117754098049165, 0.021245203480637034, 0.06787181381367662)","[-0.20830651126064748, -5.5499565510103475, -2.080625398215613]",[-0.09541107  0.41078181 -0.03632966],[ 1.09506025 -0.28943715 -0.1412659 ],"(-0.007399960869042915, 0.019385040693301422, 0.019874015118969975)","[0.4988583943350573, -2.021237960129002, -0.018817313616028793]","(-0.004865802186827531, 0.1455897706846766, 0.008511845681073242)","[-0.20270144656694117, -0.08174412973712579, -0.006693541911506208]","(-0.013235132849732208, 0.07512452028481684, 0.01008595312036319)","[0.04726294831962238, -2.1447640170848072, 0.020443673144176493]","(-0.027918530172470746, -0.18383378298316294, -0.06050052624524496)","[0.4688496913668072, 1.3244348928383234, 0.9222554106582689]",0.14554411152446337,-0.4780412812134265,"(-0.07668723751767993, -0.009254527432807648, -0.1364565051816732)","[-14.264761291634535, -0.5614459697393991, 1.1571888171009372]","(-0.2479767411131718, 0.5175460383489795, 0.07799172489856536)","[0.2585790085804365, 2.6662503099582233, -2.6662503099582233]",-0.09817426791918848,-3.3503968762618506,"(-0.16260859404016215, 0.7098990292437439, 0.2688160263379845)","[-1.1905532772427623, -1.918430637995081, -0.7663447877590136]",0.2025697442501553,3.8716609244078106,"(-0.0453165913415453, 0.2766987716768984, 0.10818993685046865)","[-1.5232236992239092, 3.4649057461715262, -0.26270879684545745]","(0.2602776209553659, 0.103170727942213, -0.37261061076878044)","[0.6333934949497104, -1.024321101422807, 1.024321101422807]",-0.007717025845814768,0.4163432725803048,"[0.14666162620219514, 0.053661718108377165, -0.13743236052730268]","[0.2421719862977254, -0.07852184601303078, 0.03598565654356098]"
8,"[-0.016634737693071666, 0.01421312394359664, -0.007712022778152243]","[-0.5668520795063233, 0.0949120558428524, 0.2625883095514023]","(-0.007052876510403023, 0.028818803205612812, 0.07620294615572837)","[-0.1876312207877744, -5.497935215930584, -1.904886575282743]",[-0.09487782  0.41042537 -0.03878617],[ 1.09723415 -0.30736795 -0.15641116],"(-0.005905322738166349, 0.026878304310767494, 0.02035105841027082)","[0.5359081548771044, -1.8402742431509784, -0.036357458542945344]","(-0.005289911435315951, 0.1751272463716902, 0.007425494457591748)","[-0.1908896519729255, -0.14306945388715425, -0.009618145378736856]","(-0.014544260732648757, 0.09664746076814301, 0.009324039660650783)","[0.04218950785757594, -2.0675241110584257, 0.01742808068616623]","(-0.0206843824169665, -0.1730513209744863, -0.07151878659919754)","[-0.7389038590882129, 0.773350139324679, -2.0534418325577644]",0.15256369595989497,-1.2143456973348767,"(-0.14170790800553934, 0.00937710706425696, -0.16485025124003863)","[11.85954410797275, 3.846765368228698, -2.3225895185191487]","(-0.2386753741368425, 0.5109319205511739, 0.09099145539762193)","[0.3253854834988687, 2.800433249406372, -2.800433249406372]",-0.1110198499624464,-3.3130488947500747,"(-0.17509515107730844, 0.7051241887838858, 0.25609558197993787)","[-1.260548868486978, -2.061337593597634, -0.7684765612415516]",0.23030311923281233,3.831427012518364,"(-0.058853309830597764, 0.2901603438748825, 0.0938818492738622)","[-1.2454181067647336, 3.201727948444491, -0.36410533073377077]","(0.24596380101649706, 0.07469429339364635, -0.3761032930891722)","[0.7085612082413197, -1.131502671310473, 1.131502671310473]",-0.006630379028406103,0.4655234253056394,"[0.1509524022601726, 0.05373851893310014, -0.14804709195227445]","[0.2454148960038396, -0.08255902101505942, 0.034088841827329026]"
9,"[-0.016634737693071666, 0.01421312394359664, -0.007712022778152243]","[-0.5668520795063233, 0.0949120558428524, 0.2625883095514023]","(-0.007052876510403023, 0.028818803205612812, 0.07620294615572837)","[-0.1876312207877744, -5.497935215930584, -1.904886575282743]",[-0.09031185  0.40914827 -0.03945429],[ 1.09762848 -0.30657519 -0.15654995],"(-0.005905322738166349, 0.026878304310767494, 0.02035105841027082)","[0.5359081548771044, -1.8402742431509784, -0.036357458542945344]","(-0.005289911435315951, 0.1751272463716902, 0.007425494457591748)","[-0.1908896519729255, -0.14306945388715425, -0.009618145378736856]","(-0.014544260732648757, 0.09664746076814301, 0.009324039660650783)","[0.04218950785757594, -2.0675241110584257, 0.01742808068616623]","(-0.0206843824169665, -0.1730513209744863, -0.07151878659919754)","[-0.7389038590882129, 0.773350139324679, -2.0534418325577644]",0.15256369595989497,-1.2143456973348767,"(-0.14170790800553934, 0.00937710706425696, -0.16485025124003863)","[11.85954410797275, 3.846765368228698, -2.3225895185191487]","(-0.2386753741368425, 0.5109319205511739, 0.09099145539762193)","[0.3253854834988687, 2.800433249406372, -2.800433249406372]",-0.1110198499624464,-3.3130488947500747,"(-0.17509515107730844, 0.7051241887838858, 0.25609558197993787)","[-1.260548868486978, -2.061337593597634, -0.7684765612415516]",0.23030311923281233,3.831427012518364,"(-0.058853309830597764, 0.2901603438748825, 0.0938818492738622)","[-1.2454181067647336, 3.201727948444491, -0.36410533073377077]","(0.24596380101649706, 0.07469429339364635, -0.3761032930891722)","[0.7085612082413197, -1.131502671310473, 1.131502671310473]",-0.006630379028406103,0.4655234253056394,"[0.1509524022601726, 0.05373851893310014, -0.14804709195227445]","[0.2454148960038396, -0.08255902101505942, 0.034088841827329026]"
