Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.002608315944671631     4498                     8.46669256353925         8.144968018384848        -0.029652211208160986    0.6476374711293045       0                        0                        0.9999494624999999       0.049999999999999996     0.0999709125076973       0.04601193323683486      0.01                     0.4079964625484803       2.5e-06                  0.4657628676470588       -4.9203467               2.3130975                
400                      0.7676936693323984       1772060                  11.022521946845156       10.559303812851496       -0.010791031721712314    0.6272888096512663       0                        0                        0.9778532875             0.05                     0.08803051016719209      0.00020326099654673324   0.01                     0.2937244398190695       2.5e-06                  0.11259191176470587      0.010490426              0.22282432               
800                      1.527027213772138        3528416                  13.900348214428607       14.734268043557659       -0.010791031721712314    0.6272888096512663       0                        0                        0.9558993                0.05                     0.07757972753562116      0.00037981209537546793   0.01                     0.2929272252847167       2.5e-06                  0.20197610294117646      -0.0046260203            0.25962552               
1200                     2.2872633171081542       5287539                  19.06399266371067        17.150322491660752       -0.010791031721712314    0.6272888096512663       0                        0                        0.933911825              0.05                     0.06835645981581466      0.0002936145591042481    0.01                     0.3086242242716253       2.5e-06                  0.244140625              -0.021663396             0.18271168               
1600                     3.0420284694433213       7035854                  22.374050442733456       22.337048458234072       -0.010791031721712314    0.6272888096512663       0                        0                        0.9120578                0.05                     0.06027601051933417      0.00031687379340142156   0.01                     0.31283903735525465      2.5e-06                  0.3010110294117647       0.015405026              0.20443396               
2000                     3.7964192214277057       8787319                  23.319858192741513       24.393553325568778       -0.010791031721712314    0.6272888096512663       0                        0                        0.8901665249999999       0.05                     0.05313935913756813      0.0003191259132724072    0.01                     0.3027317732682123       2.5e-06                  0.26240808823529416      0.054304674              0.2317633                
2400                     4.548399858673414        10541500                 24.616585418771585       27.489700850979226       -0.010791031721712314    0.6272888096512663       0                        0                        0.8682354875             0.05                     0.04683696213051069      0.0003131142527763586    0.01                     0.30008191434556947      2.5e-06                  0.2883731617647059       -0.13244106              0.29625306               
2800                     5.29725244641304         12294173                 26.67436821432943        28.500455870007766       -0.010791031721712314    0.6272888096512663       0                        0                        0.8463298125             0.05                     0.04128806514029066      0.00045101728006985095   0.01                     0.3114212891634773       2.5e-06                  0.2566636029411765       -0.1442825               0.27120614               
3200                     6.044793430831697        14042830                 26.739169673966586       32.864353043684275       -0.010791031721712314    0.6272888096512663       0                        0                        0.824471175              0.05                     0.03640641685745697      0.0006464285187415525    0.01                     0.2932630089275977       2.5e-06                  0.24701286764705882      0.01191376               0.353147                 
3600                     6.7873953825235365       15778568                 31.98409513386587        33.771919781642836       -0.010791031721712314    0.6272888096512663       0                        0                        0.802771875              0.05                     0.03213140287461766      0.0008082948816081625    0.01                     0.316625427629333        2.5e-06                  0.264892578125           -0.07958041              0.4635527                
4000                     7.531679193576177        17519300                 39.97453224379993        43.49820786471444        -0.010791031721712314    0.6272888096512663       0                        0                        0.7810131124999999       0.05                     0.02834867605806589      0.0009663670936674862    0.01                     0.31694515445269644      2.5e-06                  0.30322265625            0.34224918               0.4958363                
4400                     8.276454970969095        19267335                 45.0656253171453         48.727243806611654       -0.010791031721712314    0.6272888096512663       0                        0                        0.7591653                0.05                     0.02499845969446922      0.0008966905103240124    0.01                     0.29455971761661415      2.5e-06                  0.31824448529411764      0.0072885966             0.34779143               
4800                     9.020707597004042        21009267                 50.067194121142364       58.209122064916          -0.010791031721712314    0.6272888096512663       0                        0                        0.73738945               0.05                     0.02205330201119031      0.0015307344535411926    0.01                     0.3147855690844795       2.5e-06                  0.31135110294117646      0.2049658                0.5458697                
5200                     9.770444789992439        22759473                 40.78659081774319        46.97746197998497        -0.010791031721712314    0.6272888096512663       0                        0                        0.7155095625             0.05                     0.019443475905471512     0.0020414564601464115    0.01                     0.31235605779596987      2.5e-06                  0.31181066176470584      0.2999673                0.5340382                
5600                     10.517199649214744       24504509                 45.28128769709061        43.38447219037204        -0.010791031721712314    0.6272888096512663       0                        0                        0.693699825              0.05                     0.017149424970740207     0.0027680096626580856    0.01                     0.30467190293388235      2.5e-06                  0.3344184027777778       0.16113336               0.8013637                
6000                     11.263903163406583       26252521                 42.55170028841411        47.89294310312375        -0.010791031721712314    0.6272888096512663       0                        0                        0.6718493249999999       0.05                     0.01512249022651023      0.0026766874447382762    0.01                     0.29586668893256607      2.5e-06                  0.3295036764705882       -0.31607193              0.6687649                
6400                     12.009638367030355       27997578                 49.38433263194864        56.82865274959931        -0.010791031721712314    0.6272888096512663       0                        0                        0.6500391000000001       0.05                     0.01333821611871239      0.002519692613734353     0.01                     0.30174097041082054      2.5e-06                  0.3480902777777778       -0.46667147              0.84652174               
6800                     12.755625389284559       29746023                 62.010060910973465       56.72415961076565        -0.010791031721712314    0.6272888096512663       0                        0                        0.628191025              0.05                     0.011761902161260253     0.0018810932570410104    0.01                     0.2921273167289439       2.5e-06                  0.29389880952380953      0.18082698               0.92906034               
7200                     13.502423850297928       31496940                 55.27651384449506        59.19432615112085        -0.010791031721712314    0.6272888096512663       0                        0                        0.6062955000000001       0.05                     0.010369044779144385     0.0021113546241622316    0.01                     0.29380862071411684      2.5e-06                  0.31103515625            -0.21597716              0.6927969                
7600                     14.245189160837068       33237213                 58.128482368662          56.271907770937986       -0.010791031721712314    0.6272888096512663       0                        0                        0.584554175              0.05                     0.009149248794991148     0.0015297398348676243    0.01                     0.2950584879568355       2.5e-06                  0.2950994318181818       -0.2044386               0.71055585               
8000                     14.991996258629692       34987445                 56.83621818796825        58.89592734570426        -0.010791031721712314    0.6272888096512663       0                        0                        0.5626769                0.05                     0.008066632095336257     0.0017462564736144322    0.01                     0.2941154887561094       2.5e-06                  0.28178267045454547      -0.097315505             0.41680235               
8400                     15.736961167388491       36730954                 63.11473484552874        61.641970112509824       -0.010791031721712314    0.6272888096512663       0                        0                        0.5408839125             0.05                     0.007115571406310516     0.0015173871676200756    0.01                     0.30549043002115056      2.5e-06                  0.2956321022727273       0.3832324                0.3658656                
8800                     16.481793508463436       38476434                 59.9256197791137         63.04271041261682        -0.010791031721712314    0.6272888096512663       0                        0                        0.5190654125             0.05                     0.0062757196034359235    0.0015279054172920455    0.01                     0.3057435529560528       2.5e-06                  0.2727272727272727       -0.06662878              0.43072134               
9200                     17.230343976484406       40228977                 55.58254346545638        60.83070944479523        -0.010791031721712314    0.6272888096512663       0                        0                        0.49715417500000003      0.05                     0.005532041602939247     0.0015406188116079043    0.01                     0.3011830513853402       2.5e-06                  0.2829241071428571       -0.016202437             0.53945154               
9600                     17.973963775502313       41971700                 48.806734260770895       58.77212053375203        -0.010791031721712314    0.6272888096512663       0                        0                        0.47535605000000003      0.05                     0.004879666317615059     0.0017786235516456038    0.01                     0.28534321558168707      2.5e-06                  0.29434742647058826      0.36006108               0.5495722                
10000                    18.720632410248122       43725312                 50.294057714891544       53.19649275106177        -0.010791031721712314    0.6272888096512663       0                        0                        0.4534514625             0.05                     0.004301586457989892     0.003033430312081526     0.01                     0.28025773993100633      2.5e-06                  0.28231534090909094      -0.39713198              0.5806634                
10400                    19.466061757405598       45474261                 52.76482436081925        51.14462379328304        -0.010791031721712314    0.6272888096512663       0                        0                        0.4315732375             0.05                     0.003792565532194326     0.0029361952420003945    0.01                     0.29183547982179064      2.5e-06                  0.2653952205882353       -0.48059613              0.59203595               
10800                    20.209769475128915       47220596                 54.46352413337865        55.161344125098324       -0.010791031721712314    0.6272888096512663       0                        0                        0.40976039999999997      0.05                     0.0033450375704849136    0.0019790908830015852    0.01                     0.28744539148395964      2.5e-06                  0.26748511904761907      0.25545293               0.5709755                
11200                    20.959715832802985       48974230                 56.0689411473006         57.73929106010067        -0.010791031721712314    0.6272888096512663       0                        0                        0.38782569999999994      0.05                     0.0029482496116122726    0.0014091465743737953    0.01                     0.27706056860659056      2.5e-06                  0.32100183823529416      0.43909273               0.37797114               
11600                    21.706899688442547       50725415                 60.77451315029829        59.879104754273115       -0.010791031721712314    0.6272888096512663       0                        0                        0.36595315               0.05                     0.0025994584199571973    0.0017923179026514513    0.01                     0.2893586960536512       2.5e-06                  0.24467329545454547      0.0044692764             0.4875147                
12000                    22.455938417315483       52473608                 57.06939656173547        60.210912203716504       -0.010791031721712314    0.6272888096512663       0                        0                        0.344100775              0.05                     0.002292196987889032     0.0013662380365117729    0.01                     0.27211109963669017      2.5e-06                  0.27503551136363635      -0.1750755               0.35487655               
12400                    23.208325071467293       54219589                 52.36938274187778        54.692256570310064       -0.010791031721712314    0.6272888096512663       0                        0                        0.322275125              0.05                     0.0020215654775945333    0.00141854729004494      0.01                     0.28371717086569825      2.5e-06                  0.24396306818181818      -0.45105493              0.5704967                
