Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0027051756779352823    4545                     8.244365705559904        7.644021185987501        -0.022081532147365555    0.6347123780867754       0                        0                        0.9999490875             0.05                     0.09997069670336814      0.09516348550096154      0.01                     0.3916556020784709       2.5e-06                  0.6169704861111112       -7.996553                3.0916417                
400                      0.7752071745528115       1767393                  10.129661952182673       10.103016042214634       -0.01219579857605693     0.6044831818793078       0                        0                        0.9779129875             0.05                     0.08806076800387146      0.00020667873253146622   0.01                     0.2888364175553707       2.5e-06                  0.07490808823529412      -0.0008663847            0.16291837               
800                      1.544111707276768        3526693                  13.58293798415236        12.819710775660145       -0.01219579857605693     0.6044831818793078       0                        0                        0.9559214125000001       0.05000000000000001      0.07758960327076689      0.00018111710861536695   0.01                     0.2958660494426594       2.5e-06                  0.16429227941176472      0.0018103531             0.17060633               
1200                     2.3126101925637985       5279802                  15.738552476665443       16.21199701867146        -0.01219579857605693     0.6044831818793078       0                        0                        0.9340092                0.05                     0.06839478678301021      0.00023848726933091015   0.01                     0.31329421775744243      2.5e-06                  0.22564338235294118      -0.116925694             0.22823247               
1600                     3.082300363050567        7033587                  21.814044126975062       22.981722194637655       -0.01219579857605693     0.6044831818793078       0                        0                        0.9120875374999999       0.05                     0.060286329619422103     0.0003885835354253686    0.01                     0.3100686924299225       2.5e-06                  0.232666015625           0.013594978              0.2624748                
2000                     3.8488308902581534       8783519                  25.77961102370894        26.18723934603898        -0.01219579857605693     0.6044831818793078       0                        0                        0.8902123                0.05                     0.05315336331429852      0.0004010595493279349    0.01                     0.3111265824279852       2.5e-06                  0.2562934027777778       0.0004916191             0.27307558               
2400                     4.6143639696306655       10527881                 28.535044971593337       28.72529600008847        -0.01219579857605693     0.6044831818793078       0                        0                        0.86840985               0.05                     0.046883996516051574     0.0004944585641624144    0.01                     0.31705149239860475      2.5e-06                  0.254150390625           -0.01402687              0.30200818               
2800                     5.374649924039841        12268391                 30.827931848555316       35.14163731868091        -0.01219579857605693     0.6044831818793078       0                        0                        0.8466539125             0.05                     0.041365166927958504     0.0006794973256142435    0.01                     0.2974747642357316       2.5e-06                  0.2606336805555556       0.019801198              0.22946943               
3200                     6.140012878775597        14014112                 28.846439697565575       36.77700120679334        -0.01219579857605693     0.6044831818793078       0                        0                        0.82483015               0.05                     0.03648172581484485      0.0006735476860793663    0.01                     0.2936326894799576       2.5e-06                  0.24908088235294118      -0.0065777367            0.31121582               
3600                     6.901108441683981        15766270                 34.3064524496249         37.08935581573493        -0.01219579857605693     0.6044831818793078       0                        0                        0.8029327875             0.05                     0.03216117955801472      0.0006794454404945626    0.01                     0.30497564659699017      2.5e-06                  0.2643914473684211       0.048768196              0.39637136               
4000                     7.659024644361602        17510520                 30.636739360939593       40.697399414981895       -0.01219579857605693     0.6044831818793078       0                        0                        0.7811254                0.05                     0.028367005964928603     0.001093075477607878     0.01                     0.29578312470888096      2.5e-06                  0.232421875              -0.09885582              0.40630034               
4400                     8.41521105852392         19248548                 44.74043052678385        43.324806259805534       -0.01219579857605693     0.6044831818793078       0                        0                        0.759401775              0.05                     0.02503251225775996      0.0017669324255014847    0.01                     0.30025852704420686      2.5e-06                  0.27864583333333337      0.0043440876             0.4047221                
4800                     9.175013334618674        20991209                 39.39366406924912        50.044206891307454       -0.01219579857605693     0.6044831818793078       0                        0                        0.73761285               0.05                     0.022081680663756754     0.0015386865928803672    0.01                     0.29488314216723666      2.5e-06                  0.27197265625            0.12521575               0.38068223               
5200                     9.93556425134341         22737446                 42.807491005474716       51.14074144232001        -0.01219579857605693     0.6044831818793078       0                        0                        0.7157843500000001       0.05                     0.019474256011122265     0.001329201816929526     0.01                     0.2945502167567611       2.5e-06                  0.219970703125           0.12049342               0.5327535                
5600                     10.6989734533098         24487829                 48.89419586048661        50.22536855147011        -0.01219579857605693     0.6044831818793078       0                        0                        0.6939055625             0.05                     0.0171697474137984       0.0019161807110375615    0.01                     0.29496952113421526      2.5e-06                  0.2729779411764706       -0.037073318             0.42185754               
6000                     11.45860580921173        26233011                 48.026053163578524       55.66172352616363        -0.01219579857605693     0.6044831818793078       0                        0                        0.6720939875             0.05                     0.015143803604295682     0.0018843766871315085    0.01                     0.298046562458492        2.5e-06                  0.3302951388888889       -0.16083999              0.450173                 
6400                     12.22085622800721        27983847                 53.000641148262986       55.89194536633522        -0.01219579857605693     0.6044831818793078       0                        0                        0.6502034                0.05                     0.013350837195295624     0.001239108708271969     0.01                     0.29094073696828937      2.5e-06                  0.27918198529411764      0.038838618              0.30964613               
6800                     12.97946109453837        29727356                 53.6271359007565         54.72397803750946        -0.01219579857605693     0.6044831818793078       0                        0                        0.6284095375             0.05                     0.011776706285288794     0.0010814162990701495    0.01                     0.3007089989259839       2.5e-06                  0.3336397058823529       -0.073534384             0.48786512               
7200                     13.736975898411538       31472634                 56.80798911821795        53.58500290927634        -0.01219579857605693     0.6044831818793078       0                        0                        0.6066099625             0.05                     0.010387831736413262     0.001340807964013601     0.01                     0.3069236233298268       2.5e-06                  0.32273065476190477      0.27354854               0.58383065               
7600                     14.496845419009526       33225558                 57.14270000796017        59.47367829195123        -0.01219579857605693     0.6044831818793078       0                        0                        0.5846833625000001       0.05                     0.009156055283618717     0.0014225346317289222    0.01                     0.2895347087760456       2.5e-06                  0.282958984375           0.13600263               0.52806664               
8000                     15.257502208285862       34979325                 60.2167896853761         56.027059979709094       -0.01219579857605693     0.6044831818793078       0                        0                        0.5627762875             0.05                     0.008071248500882615     0.0014933556755013775    0.01                     0.30418192914554054      2.5e-06                  0.3002232142857143       -0.27057943              0.54998016               
